sentence,label
V and headache not affectedviolent motion /h,3
V with oscuration of vision,3
Whirling in the head so that she dare not move it withsensation as if the eyes would close,3
V with difficult respiration dry cough and pain in the hips Ailments from which the patient suffered efore taking Aconite,3
V with nose leed,3
V with nausea,3
V with vomiting and exhaustion,3
Heat in the head sever,3
Heat in the whole head followedsoreness particularly of the forehead lastingthe evening,3
Burning headache as if the rain were agitatedoiling water,3
Head warm it feels smler to the hand,3
Headache as ifhot iron were ound around the head,3
Headache as if the skull were laced externly withand and drawn tightly together,3
Head seems ound around withand,3
Pain over the whole skull as if compressed fromsides equly sometimes the pain is concentrated with the greatest severity in the orits typicly recurring,3
Weight in the head,3
Pressive pain in whole head,3
Heaviness in the head,3
Head heavy and dizzy in the morning as if he had drunk wine the evening previous,3
Headache t etc,3
Violent headache with tremling,3
Pressive headache with pressure in the eyes,3
Pressive troulesome headache first in the vertex then drawing to the forehead where it causessensation of heaviness and fulness lasts sever hours aggravatedmotion,3
Dull headache as if ruised withruised feeling inthe lims,3
Pressive constrictive headache extending over the whole arch of the skull especily in the left side and over the left eye amelioratedlaying on the cool hand,3
Drawing in the whole head especily in the tempor muscles,3
Fulness in the head sever,3
Fulness of the head with erratic pains in the right supra-orit tempor and front regions,3
Headache as if the rain were pressing outward /h,3
Duringthe proving sudden and frequent congestion of the head with anxiety followedrigor over the ack,3
The rain seemed much congested and the jugular vein was opened with great relief she felt as if whirled suddenly fromclose hot dark room intospacious light one,3
Shooting pulsating headache as if from an intern ulcer sometimes prevents speaking,3
Headache as ifpart of the rain were raised up here and there increasedslight motion drinking and speaking /h,3
Heaviness of the head waving and shaking in the rain,3
A fine pulsating here and there in the head,3
Humming in the head,3
Numed feeling in the head as if there wereoard efore the forehead /h,3
Sensation as if something were drawn out of the head causing the upper lids todrawn upwards /h,3
Head felt as if forcily turned around,3
Sensation of crepitation as producedending gold tinsel ackward and forward in the temples nose and forehead,3
Fulness and heavy feeling in the forehead as if an outpressing weight lay there and as if everything would come out at the forehead /h,3
Fulness of the forehead on stooping as if everything would fl out,3
Outpressing pain in the forehead,3
Wedge-like pressing asunder headache in the region of the right row worse in the room than in the open air,3
Forepart of the head feels as if nailed up inwarm room,3
Tensionover the forehead,3
Contractive pain in forehead,3
Feeling of contraction of the rain under the forehead,3
A squeezing in the forehead over the root of the nose withfeeling as if she would lose her reason was sick in her head aggravatedwking in the open air,3
A pinching and squeezing in forehead as if in the ones she feels sick as if madness would ensue -h,3
Squeezing tensive pain close ehind the orits,3
Very sensitive acute pressive pain over the forehead,3
Pressive pain in forehead especily over the right superciliary ridge with dread of jarringriding,3
Pressive stupefying pain in forehead worse evenings,3
Slight pressive headache in right front protuerance extending toward the orit order with flushes of heat chiefly in the face and ears,3
Pressive headache especily over right row,3
Pressive shooting nauseating headache over orits extends down toward upper maxilla like that producedvomiting from an emetic,3
Peculiar drawing pressive sensation in forehead nerv trigem grows more intense and ecomes continuous and violent,3
Most furious headache vision oscured the pain was chiefly in the upper part of the forehead pressing and contractive,3
 head not hot face swollen and pe light or noise increased the pain lying quiet indark room removed it fromdil,3
Violent headache limited tosml spot aove left supraorit ridge,3
Front headacheday worse at evening afterwards more particularly confined to the left front eminenced,3
Front headache sometimes shooting sometimes pulsating sometimes pressive while wking relievedsitting,3
Violent headache especily in right hf of forehead,3
Heaviness in the forehead and pariet ones,3
Headache pulsation in the left side of forehead ong with attacks of strong lows in right side of forehead,3
Stitches in forehead extend to right temple and then in left side of the occiput,3
Jerking shooting in the head especily in the forehead,3
Violent sticking pain in upper orit order extending upward across the forehead and across the temples and cheeks into the molar teeth worse on pressure and toward evening the supraorit region ecomes swollen in consequence,3
Headache in the temples,3
Pressing out pain in temples fulness in forehead with pricking and iting of lids evenings,3
Stupefying drawing pressing inward pain in left temple,3
Pressive pains in tempor region followedjerkings in the occiput and afterwards confusion of head and contractive pain,3
Headache as if the head were compressed with screws at oth temples,3
Shooting throing pain in temples,3
Neurgic pains in right tempor region,3
Tearing pain in left temple,3
Jerking shooting pain in left temple stitches through temples into the head,3
Tearing pain in left temple with roaring in the ears,3
After sleeping awake at AM with unpleasant sensations which urged him to rise when he experienced dizziness and very heavy headache apparently aout tempor muscles aove each ear with transient nausea and gush of cold sweat,3
Pressure on the vertex as ifcap were pressed tightly on the head,3
Headache in the vertex as if the head were compressed equly onsidesa pitch cap removedmotion in the open air,3
Dull pain in vertex extending toward the tempor region increasedstooping,3
Pressure and sensitive stitches in the vertex,3
Pain in vertex likegreat weight,3
Feeling as though the head were compressed starting from the vertex sever,3
Pressure and heaviness in the vertex,3
Troulesome pressure in vertex forenoon a,3
Troulesome pressive headache first in vertex then extending to the forehead where it producessensation of fulness and heaviness aggravatedmotion a,3
Pressive pain in vertex nightly,3
Continu pressure on vertex,3
Pressive pain in vertex evenings,3
Pain in top of head relievedwashing in cold water,3
Sensation as ifl rose from umilic region and spreadcool air over the vertex and occiput,3
Violent pressive graduly increasing headache in oth sides in the pariet region somewhat relievedcold water,3
In the evening headache increasing toviolent pressure in oth pariet regions that kept him awakenight,3
Semilater drawing in the head,3
Pains in left side of head,3
Pain as if head were compressed in left side of head,3
Creeping in left side of head as fromrush,3
Pain in left side of head,3
Jerking shooting drawing tearing pain in right side of head superiorly,3
Pain in occiput t etc,3
Pain in occiput and throat,3
Pressure in occiput,3
Posterior part of rain feels very much injected,3
Jerking tearing pain in occiput,3
Painful jerks in occiput,3
Pressive shooting pain at one time in occiput at another in forehead,3
A shooting in occipit one,3
As if one had taken cold afterprofuse sweat headache roaring in ears coryza ellyache especily in the morning as if one had taken cold afterprofuse sweat headache roaring in the ears coryza ellyache especily mornings,3
The actuel effect ofchill not aschill,3
Headache increasedspeaking,3
Headache on ending forward,3
Head drawn ackward tt scp scp,3
Itching and formication of scp,12
Formication relievedheat,12
Formication especily in tempor region,12
Stitches in right tempor muscle,12
Stitches under the scp,12
Sever spots sensitive to touch and cold air,12
Painful tickling especily on top of head on touching the hair,12
Scp feels swollen and num,12
Sensation in places as if the hairs stood on end with increased sensitiveness of them,12
Sensation as if the hairs stood on end,12
The hair seemed to ristle and the scp was painful to touch in sever places and sensitive to cold air,12
The roots of the hairs are felt,12
Sensation as if some one drew him upwardthe hair,12
An increase of temperature on the vertex externly it felt hot to the touch and the hair ristled up there,12
Throing of tempor arteries,12
Cold perspiration over the head tt,12
The forehead covered with cold sweat t eyes eyes,12
Both her eyes ecame very loodshot afterfew days,18
Eyes fixed,18
Very acute urning sensation redness of the conjunctiva of the lids and eyel lachrymation Pupils at times dilated at other times contracted after an hour the dilatation was constant there was onlyrim of iris After twelve hours the dilatation,18
still continued,18
Dilatation of the pupils etc,18
Pupil contracted,18
Alternate contraction and dilatation of the pupil,18
Parti lindness with dilatation of the pupils,18
Ringing in ears,24
Feels tightly constricted,26
Stupefying compression at the root,26
Marked pain etween orits at the ase of nose,26
Furuncles at the tip,26
Nose feels quite dry,26
Epistaxis,26
Blows much right red lood from nose for sever successive mornings,26
Frequent violent sneezing,26
Frequent sneezings with shootings in chest,26
Sneezings frequent violent with pain in adomen,26
Sneezing frequent profuse nas flux and sense of extreme stuffing in the head,26
Forcile sneezing,26
Sneezing interruptedpain in left side of chest,26
Clear fluid flows from nose,26
Threatening coryza one or two hot clear drops fl from nose attendedslight lachrymation,26
Attack of catarrh and coryza -h,26
Fluent coryza in the morning,26
Attack of coryza,26
Severe coryza,26
Sensation as if coryza were aout to commence,26
Discharge of thick yellow mucus from nose as in old coryza,26
Great sensiility of the olfactory nerve ad smells havepowerful effect,26
Countenance pe and anxious,28
Gener sickly appearance,28
Livid and ghastly,28
Pe and tered,28
Extreme peness,28
Hippocratic,28
Uneasy expression,28
Pe with expression of anxiety and restlessness,28
Appearance of fright and imecility,28
Expression of fright,28
Livid countenance,28
Face lue like that ofstrangled person,28
Livid purple with white lotches,28
On looking at herself in the glass the face seemed lue and indistinct,28
Bluish face lack lips,28
Blue lips,28
Face red,28
Red and hot sever,28
Flushed face,28
Redness and heat of oth cheeks withsensation of the face growing large,28
Glowing cheeks,28
Glowing heat in face sever,28
Face hot especily in the evening sever,28
Face hot hands and feet cold,28
Increased warmth of cheeks,28
While the left cheek seemed swollen and hot it is rely cool to the touch,28
Puffy swelling of the face and forehead,28
Cold sensation in face though it is hot to the touch sever,28
Face seemed toswelling tt,28
Sensation of swelling in forehead and face especily left side,28
The face red when lying ecomes deathly pe on rising up,28
Cheeks red and pe ternately or one red the other pe,28
Warm perspiration on face,28
Sweat on the cheeks whichever side is lain on,28
Sweat on the upper lip under the nose,28
Face covered with cold clammy sweat,28
Cold sweat stood on his row,28
Pain in zygomatic process as from an intern ulcer,28
Shooting pain from right supraorit ridge ranching out upwards across the forehead to the hairy scp s,28
ideways to temples and downwards to the cheeks and into two or three teeth increasedpressure and ecoming so excessively violent toward evening when it was accompaniedconstant cough thatother symptoms were thrown into the shade the next,28
day the supraorit ridge was swollen,28
Pain in face,28
Creeping pain in cheeks,28
Sensation as if cheeks were swollen to most doule their size,28
Crawlings in right cheek,28
Crawling in face and sensation of urning in skin,28
Violent faceache,28
Peculiar drawing sensation in the cheeks upper jaw forehead grows more intense and ecomes continuous and violent,28
Very violent piercing pain in the jaws as if they would fl off causing him to put his hands to them,28
Pain in the maxillary joint ehind the zygoma while chewing,28
Stinging and drawing in left upper and lower jaw,28
Shooting jerks in the under jaw,28
Pressive aching in the under jaw,28
Involuntary pressure of the under jaw against the upper with flow of siva into the mouth,28
Pressive and digging pain in chin,28
Itching and formication of the face,28
Tickling on face,28
Peculiar tickling on the face,28
Face most insensile,28
No feeling in face,28
Most remarkale sensation of distortion,28
Twitching of the muscles of the face t etc,28
Distortion of the faci muscles,28
Continued distortion of face,28
Convulsive contraction of face,28
Jaws and face rigid,28
Heat-rash on the forehead,28
Itching pimples on the upper lip,28
Lips lack,28
Lips swollen inflamed,28
Burning of lips with sensation of swelling,28
Burning of lips and tongue as after eating pepper or smoking sever,28
Lips and interior of mouth urning painful and inflamed,28
Burning and numness of lips and mouth tt,28
Lips lue,28
Heat and tingling followednumness of lips and tongue,28
Feeling of the most strange distortion of countenance at times as ifsingle muscle had ulged out to the size ofpigeons egg then as if the whole jaw was thrust to one side as in,28
parti dislocation at other times as if the lower jaw were pushed up or raised into the cavity of the mouth conveying the idea that the face must look like that of an old man who has losthis teeth and in consequence has his lower jaw thrown forw,28
ards and upwards no visile change,28
Sever times sensation as ifthe muscles of the face were firmly ut no spasmodicly contracted attended withnum heavy parytic feeling of whole face similar sensations simultaneously in oth ar,28
ms from shoulders to the tips of fingers conveying the idea that the arms were paryzed though they oeyed the will perfectly,28
Frequently repeated sensation as if the lower and anterior part of the face were firmly compressed from oth sides,28
yheavy ut not painful weight until the idea ecame irresistile that that portion of the face was very thin no change of features noticed,28
Sensiility of the teeth to open air,36
Cold feeling in the incisors,36
Pain in teeth,36
Shooting pain in various teeth,36
Shooting pain in right molars,36
Sticking and drawing in right ack teeth,36
Teeth of right side ache With SS and,36
Pressive toothache in left upper jaw,36
Teeth feel as if they would fl out tt,36
Blunted sensation in teeth,36
Throing one-sided toothache with redness of the cheek etc,36
Teeth spasmodicly clenched tt,36
Trismus tt,36
Tongue and lips swollen,36
Sensation as if the tongue were swollen sever,36
T feels too large for the mouth,36
T seems to have grown thicker,36
T feels as if getting longer,36
T white thick cold,36
T furred yellow,36
T furred moist with dry mouth d,36
Burning in T etc,36
Burning in tip of T and in lips,36
Burning long-lasting Loc effect,36
Burning vesicles on T,36
Burning on sides of T,36
Burning increases in intensity for four hours,36
Burning in T after eating,36
Burning violent,36
Slight urning under the T,36
Fine penetrating stitches in the point of the T,36
Momentary flying stitches in the T with sivation See note to S,36
Occasion single stitches in right under surface of T,36
Pricking sensation at the ack of T as from pepper with sivation,36
Peculiar tingling on T extends to lips,36
Biting sensation in T toward tip,36
Tingling in T and jaws and urning so that the teeth seem to wale,36
Momentary tingling numness at tip of T,36
Peculiar crawling sensation on T as from peppermint extends to lips and lower part of pate,36
Tickling on T then on lips,36
Numness tingling and sense of distension of T and lips,36
Numness of T and mouth and lips tt,36
Transient parysis of T,36
Sense of dryness and rawness in middle of T without thirst,36
Numness in T with difficult swlowing,36
Cramp-like sensation at root of T,36
Sensation as of cold air passing over the T sever,36
Cold T as incholera patient,36
T felt like leather,36
T moved continuly around the interior of the mouth at times it was thrust out eyond the lips and moved from side to side,36
In the mouth iting urning feeling,36
Burning in mouth,36
Burning from lips to pharynx,36
Dryness of Mouth,36
Dryness and coolness of mouth without thirst,36
Feeling of dryness in the front of the mouth,36
Dry sensation first in lips then in interior of mouth with heat mounting from chest to head without redness of the cheeks,36
Convulsions in the mouth,36
Mouth drawn to one side,36
Copious flow of siva etc,36
Flow of frothy siva,36
The secretion of siva compels him to swlow often,36
Increased secretion of clear watery siva sever,36
Siva mixed with red streaks with sweet taste in the mouth during days after last dose,36
Soreness of the orifices of the sivary ducts as if they were corroded,36
Bitter taste in the mouth,36
Intensely itter taste,36
Bitter tasteday,36
Bitter taste with loss of appetite and pain in chest and under fse ris,36
Peppery taste See note to S,36
Strong taste of pepper,36
Peppery taste in pharynx,36
Astringent taste,36
Sourish taste with loss of appetite,36
Flat nauseous sweet taste compels hawking up tough mucus and then swlowing it,36
Nauseous taste relievedeating returns after eating,36
Insipid fishy taste as from stagnant water,36
It seems as though her mouth were filled with air having the taste of rotten eggs,36
Taste and sensations changed in spots there isfeeling of fuzziness,36
Things that formerly tasted strong and good are now tasteless,36
Speech stammering,36
No power of articulation he uttered only unintelligile sounds,36
She lostpower of speech t,36
Uvula swollen and elongated the fauces and pharynx injected dark red,118
 feeling as if an angular many-pointed ody were sticking in the throat prickling urning in the pate throat and ong the Eustachian tue increasedswlowing with oppression of the chest headache and incre,118
ased flow of siva the throat symptoms were increasedwking in the open air and relieved after eating,118
Soft pate tonsils and fauces reddened with feeling of warmth and dryness of lips,118
Redness of the soft pate and uvula,118
Pain in throat,118
Disagreeale scratching in throat provoking dry cough,118
Scraping in throat with difficult swlowing,118
Scraping sensation ceases on clearing throat,118
Drawing from the side of the throat to ehind the ears,118
Fine stinging sensation in the ack of the throat as from the sml pricking hairs of the seed of the dog rose Rosa canina,118
A sticking choking sensation insml spot on left side of throat worse when swlowing,118
and speaking ut felt so when at rest after one-fourth hour it passed into the right side while the painful sensation in the left side ceased it remained there one-fourth hour then disappeared,118
Creeping in pharynx,118
Transient pressure and tension in the soft pate and fauces as if these parts were swollen,118
Slight congestion of fauces With SS and,118
The throat seemed togrowing narrow,118
Constrictive sensation in the ack of throat as from astringents,118
Warmth and constriction of fauces sever,118
Burning in throat tt,118
Burning in glottis and gullet,118
Burning and numness of throat tt,118
Sensation of urning of throat and stomach with inclination to vomit,118
Burning and fine stinging pain in ack of throat,118
Burning sensation in pharynx,118
Heat in pharynx,118
Burning sensation in ack of throat causing him to hawk up,118
Fine urning in fauces,118
Burning and dry sensation in the soft pate and pharynx not disappearing even after eating and frequent empty swlowing,118
Complains of throat and urning ong csophagus,118
Sensation of heat and constriction in throat,118
Constriction of throat,118
Throat seems to swell with feeling ofquantity of mucus there that he could not get rid ofhawking,118
Scraping and constriction of throat,118
Constriction in the csophagus not relieveddrinking cold water with dryness of the pate,118
Scratching and constriction in the uvula and soft pate causing constant hawking and spitting even amounting to an irritation to vomit,118
Sensation as if the pate had flen down and rested on the tongue forcing one to hawk and spit constantly for sever hours,118
Dry feeling in pate and posterior nares,118
Dryness in csophagus with great thirst the water seemed not to moisten the parts it passed over,118
Feeling of dryness as if something had stuck in the throat,118
Dryness of throat increasedtoacco smoke,118
Raw feeling in throat with frequent secretion of mucus from the larynx,118
Raw scraping feeling at ack of throat with constant desire to hawk up lasting hours,118
Raw sensation in the pharynx,118
Rawness in throat especily in posterior nares which compels him to clear the throat frequently as if very tough mucus extended through the choanover the soft pate and uvula,118
Pressure in throat especily during empty deglutition,118
Inaility to swlow,118
Sever sticking pains in posterior fauces,118
Stuffing sensation in right Eustachian tue compelling him to swlow,118
Strong peppery feeling in throat,118
Tickling in pharynx,118
Throat most insensile,118
He frequently pulled at the throat,118
Coldness down the csophagus as after peppermint,118
Anorexia,48
Appetite completely gone unale to take solid food,48
Long continued anorexia and aversion,48
Loathing of food and qumishness /h,48
She will eat nothing,48
No appetite t etc,48
No appetite food creates nausea,48
Uncommonly good appetite,48
During the day appetite very much increased at noon and evening enormous he ate to distension and then felt hungry,48
Hunger,48
Lively sensation of hunger which is renewed even after eating,48
Great thirst,48
Thirst for eer which lies heavy on the stomach,48
Hiccup after eating and drinking,48
Hiccup mornings long lasting,48
Hiccup painful,48
Eructations,48
Eructations empty  after eating t with taste of the drug  of air sever,48
Ineffectu attempts to eructate he wishes to ut cannot,48
Eructations of air with nausea going off after reakfast,48
Risings of sweetish water like water-rash with noises in the ears,48
Risings of sweetish water with nausea,48
Water-rash,48
Risings from the pit of the stomach amounting to nausea fasting,48
Scraping from the pit of stomach to throat with nausea and sinking in pit of stomach as if water were aout to flow into the mouth,48
Nausea t etc,48
Nausea and vomiting,48
Nausea vomiting thirst gener heat and profuse sweat with flow of urine Not found,48
Nausea loathing and gener sick feeling with painful heaviness of the lims,48
Nausea and sinking in pit of stomach worse while sitting most entirely removedwking immediately,48
Flesh roth nauseates him,48
Nausea while wking in open air,48
Nausea first in pit of stomach then under the sternum lastly in the throat without flow of siva,48
Nausea and sinking qumishness /h,48
Nausea as after eating some disagreealy sweet or fat sustance,48
Nausea relievedeating with sweet taste and hawking up phlegm,48
Felt sick ut could not vomit,48
Faint sick feeling without definite nausea,48
Inclination to vomit with much diarrh ca,48
Violent vomiting,48
Vomiting of lumrici,48
Vomiting twice of greenish-gray watery fluidd,48
V followedviolent thirst,48
V very violent first of food then of mucus frothy lasting an hour with urning of lips mouth and throat soon extending to stomach,48
Bilious V,48
Green V,48
V of green ile,48
V mucus tt,48
V after each drink,48
V of green masses with diarrh ca of same appearance,48
V of fetid lack ilious mucus with relief,48
V artificily excited only temporarily restored the patient from his state of syncope,48
V with anxiety,48
V with great disposition to stupor,48
V with stools accompaniedcardigia and violent colic,48
After repeated V and many stools he still complained of feeling as ifcold stone lay in the stomach,48
V of mucus mixes with lood three or four successive days,48
V of loody mucus followedprofuse perspiration,48
V lood,48
Food distressed after eating,48
After dinner hearturn and pain in stomach,48
Discomfort in pit of stomach after eating,48
While eating pressure in stomach as if she had eaten something indigestile with feeling of warmth and tenderness in pit of stomach,48
Pains in stomach t etc,48
Spasmodic pains,48
Pressive stomachache,48
Pressive pain in pit of stomach changes into constriction of the chest h/,48
Pressure as fromstone in pit of S going through to the ack withsqueezing sensation as fromstrain like stiffness,48
Sense of extreme oppression at pit of Sday as of excessive repletion feeling as if nothing could pass further than the stomach,48
Pressive pain at pit of S while sitting wking and standing,48
Pressive pain in stomach as fromweight h/,48
Pressive tensive pain as from fulness or an oppressive weight in stomach and hypochondria h/,48
Pressive and swollen feeling in pit of S,48
Pressure in stomach with splashing in owels -d,48
Pressive sensation in pit of S and upper adomen,48
Sense of weight in stomach,48
Sense of weight in stomach with constriction in throat and nausea,48
Pressive and urning pain ong the csophagus down into pit of S,48
Sense of distension and pressure in pit of S,48
Feeling as if the stomach were ternately distended and collapsed the hand laid on it feels distinctly the rising and fling,48
Sticking and tension in epigastrium as from flatulent colic,48
Tensive sensation in pit of S relievedfrequent offensive eructations,48
Felt likel in pit of S that rising up spreadcool air over vertex and occiput,48
Contractive feeling in stomach as from an astringent,48
Feeling of emptiness in stomach,48
Hearturn,48
Hearturnday,48
Burning in S,48
Burning and numness in S,48
Burning feeling from stomach up through the csophagus to the mouth,48
Warmth in stomach with sweat,48
Warm feeling in stomach,48
Feeling of anxiety in pit of S especily inwarm room,48
Swelling of stomach region which is sensitive to touch,48
Pain in pit of S as if it were swollen internly with loss of appetite and dyspn ca,48
Anxious pulsation and shooting in pit of S with urning in umilic region etc,48
Stomach sensitive to touch t,48
Pressive pain as fromweight in the hypochondria,52
Feeling of violent constriction in the hypochondria,52
Sensation of anxiety in the hypochondria,52
Pains in the upper adomen with ineffectu straining at stool sever,52
Stitches in the liver and owels as with needles,52
Continued constriction especily in the right hypochondrium not permittingdeep reath,52
Stitches in hepatic region hinderingdeep reath,52
Pressure in the hepatic region ostructing respiration followedpinching ellyache aove the navel,52
Violent jerks in the hepatic region taking away the reath,52
Constrictive pain in the region of the gl-ladder preventing respiration on sitting,52
Shooting in the spleen while wking,52
A sharp stitch under the ris on the right side on laughing oud,52
The upper adomen elow the ris is the seat oftense painful swelling,52
Dull stitches under the ris on the left side on inspiring,52
Burning in the umilic region,52
Burning sen,52
sation in umilic region which rapidly traversed it and spread toward the pit of the stomach with anxious pulsation and shooting there aftershort time camerigor over the whole ody whereupon the hot feeling and the painful sensation in the um,52
ilic region disappeared h/,52
Pinching sensation in umilic region,52
Clawing and scraping in umilic region,52
Pinching in umilic region as if from nausea followedslight diarrh ca,52
Drawing ellyache on oth sides of navel so excitedending forward,52
Compression of the navel followed immediatelyintermitting pressure like jerks in the navel,52
A painless feeling aove and to the left of navel as if something coldcold finger were pressing from within outward,52
Retraction of navel especily in the morning efore eating,52
Flatulent colic in hypogastrium as fromflatulent purgative,52
Sensitiveness of lower adomen to touch,52
Adomen sensitive,52
Sensitiveness of adomen to touch as from slight peritone inflammation,52
Exceedingly fine prickings as from needles in left hypogastric region,52
Faint sinking feeling in lower adomen d,52
Dartings in the owels as from needles,52
Cuttings in intestines which extend through the chest toward the right shoulder like sharp knife-thrusts and most make him cry out during stool,52
In morning in ed intolerale cutting pains in adomen so that he cries out and knows not what to do with himself he tosses aout the ed,52
Burning in adomen,52
The child complains of pain in adomen,52
Painful tension of the adomen with ororygmus,52
Great swelling of adomen which is painful to touch,52
Drawing pains in owels here and there,52
The flanks more tense painful and felt hard,52
Pressing pain in parietes of adomen first right then left most typicly recurring for sever days,52
The adomen swelled as if he had dropsy,52
The adomen seemed as if full of water,52
Adomen swelled distended as from ascites,52
The recti adominis stretched as hard asoard,52
Colicky distensive stretching and pressive pains in adomen as from flatulence,52
Violent colic,52
Slight gripings,52
Gripes with swelling of the adomen relievedexpulsion of flatus sever,52
