,sentence,label
120,"Sentence: ""Tearing as with a saw in the head""",3
121,"Sentence: ""Tearing in the head outward at the ear""",3
122,"Sentence: ""Tearing in the head more in the afternoon than in the forenoon with weakness and thirstless heat is obliged to lay the head upon a table to get relief""",3
123,"Sentence: ""Sticklike tearing in long irregular intervals at one time through various parts of the head at another pain through the bones of the cheeks in the region of the lower jaw and other parts of the face""",3
124,"Sentence: ""Painful thrust in the head when coughing""",3
125,"Sentence: ""Stitch in the head""",3
126,"Sentence: ""Stitches in the head and out at the eyes""",3
127,"Sentence: ""Sticking headache at various times at times continuing at night with tearing in the lower jaw or followed by bruised pain in the side of the head mostly for a short time relieved by compression of the head at times obliging to lie down""",3
128,"Sentence: ""Hammering headache on vivacious talking""",3
129,"Sentence: ""Very painful hammering in the head""",3
130,"Sentence: ""Some blows through the whole head""",3
131,"Sentence: ""Beating of the brain against the skull on moving the head with pressive pain""",3
132,"Sentence: ""Throbbing in the head in the morning""",3
133,"Sentence: ""About AM violent throbbing of all the arteries of the head g""",3
134,"Sentence: ""Empty feeling in the head in the morning""",3
135,"Sentence: ""A kind of creeping feeling occasionally felt in the head especially on the parietal and occipital regions b""",3
136,"Sentence: ""A cold spot constantly on the top of the head""",3
137,"Sentence: ""In the evening severe cold in the head with headache""",3
138,"Sentence: ""Sensation of fog in his head and dizziness which makes him sad ideas indefinite with irresolution""",3
139,"Sentence: ""Slight headache at the left side of the forehead just above the eyebrow at noon troublesome aching on the left side of the forehead""",3
140,"Sentence: ""A sudden not violent pain in the left side of the forehead in the morning aching in the forehead first on the left side and then on the right extending to the mastoid process a""",4
141,"Sentence: ""During the day aching in the forehead b""",4
142,"Sentence: ""Transient aching in right side of forehead d""",4
143,"Sentence: ""In the morning aching pain in the forehead slight aching in the forehead""",4
144,"Sentence: ""Aching pain in the forehead and confusion of head as if he had taken too much alcoholic drink lasting until noon aching pain in forehead above eyebrows at AM after waking aching pain in forehead going off after getting up and washing on waking in the morning pressive pain in the forehead and occiput pressive headache over the eyebrows almost all day more or less severe and continued aching pain in forehead especially above the right eye lasting till noon a""",4
145,"Sentence: ""Aching pain in the forehead in the morning the usual headache b""",4
146,"Sentence: ""In the morning slight frontal headache in the morning aching in the forehead c""",4
147,"Sentence: ""Aching pain in forehead and occiput especially when stooping about noon""",4
148,"Sentence: ""Aching pains in the left frontal region in the evening""",4
149,"Sentence: ""Along with the febrile heat there occurred a disagreeable aching pain in the forehead and great restlessness which went off when sweat broke out""",4
150,"Sentence: ""After dinner aching in forehead and stomach""",4
151,"Sentence: ""Headache over the eyes every morning as from stopped coryza was constantly obliged to sneeze""",4
152,"Sentence: ""Headache above the eyes and nausea after eating followed by heaviness of the head""",4
153,"Sentence: ""Headache as from a board in front of the head""",4
154,"Sentence: ""Aching pains in the left frontal region on going upstairs a""",4
155,"Sentence: ""In the morning on waking headache having its seat above the forehead in the hairy scalp where it occupied a space the size of the palm of the hand it was of an aching pressive character when off when he rose up but did not go off till far on in the forenoon a""",4
156,"Sentence: ""In the morning after awaking pain in the left side of the forehead which lasted till noon pain in the left frontal region in the morning in the night awakened by a rather severe but transient pain in the left frontal region woke in the morning with violent pains in the left frontal region which lasted till he got up b""",4
157,"Sentence: ""In the evening contractive pain in the forehead and temples dull aching in the forehead contraction and pressing in the forehead aching in the forehead in one hour in the frontal bone a painful aching which extended across the nasal bones and both malar bones""",4
158,"Sentence: ""Aching in the frontal bone b""",4
159,"Sentence: ""Dull drawing-throbbing pain deep in the right side of the forehead which was at times more violent and again less so it lasted half an hour a slight threatening of headache on the left side of the forehead sudden oft-recurring dull drawing pain in the left side of the forehead which alternated with a similar pain now in the right side of the forehead and now in the right parietal region sudden oft-recurring dull drawing deep in the left side of the forehead""",4
160,"Sentence: ""About PM dull digging pain in the left side of the forehead with confusion of the whole head towards noon dull drawing frontal headache which after a few minutes alternated with a similar pain in the right wrist in the afternoon frequent alternation of frontal headache with the pain in the joints described the day previous a""",4
161,"Sentence: ""After AM frequent attacks of a dull headache deep in the left side of the forehead when at rest and when moving which sometimes increased to a drawing-throbbing pain b""",4
162,"Sentence: ""In half an hour dull drawing headache in the left side of the forehead with a similar pain now in the left knee-joint now in the left outer malleolus now in left wrist e""",4
163,"Sentence: ""In the afternoon headache in the whole of the left side of the cerebrum e""",4
164,"Sentence: ""Dull aching headache at one time deep in the forehead then in the occiput but always alternating with gouty pains piercing through the joints of the extremities g""",4
165,"Sentence: ""At night in bed there occurred deep in the right side of the forehead in a circumscribed spot the size of a crown piece a slight digging-shooting pain which lasted a few minutes g""",4
166,"Sentence: ""In the forenoon frequent alternation of headache and the previous pains in the joints but only when at rest g""",4
167,"Sentence: ""Drawing through the forehead and temples very acute as though a worm were crawling through it""",4
168,"Sentence: ""On waking from sleep before midnight pressure in the left frontal protuberance""",4
169,"Sentence: ""Painful pressure above the eyebrows""",4
170,"Sentence: ""Pressure in the forepart of the head as after night-watching which after a few days changed to a glowing tearing in the right side of the head and teeth aggravated by cold water""",4
171,"Sentence: ""Violent pressure in the forehead""",4
172,"Sentence: ""Pressive pain in the forehead mostly in the forenoon""",4
173,"Sentence: ""Pressure in the forehead mostly in the afternoon during the menses""",4
174,"Sentence: ""Pressing pain in forehead a""",4
175,"Sentence: ""Sudden pressing headache about the right supraorbital arch in the forenoon a""",4
176,"Sentence: ""Pressive headache above the left eye in the afternoon""",4
177,"Sentence: ""Pressive headache in the forehead more violent on motion""",4
178,"Sentence: ""Pressive pain in frontal region""",4
179,"Sentence: ""Pressive headache especially in the forehead going off in the course of the day""",4
180,"Sentence: ""Headache pressing out at the forehead""",4
181,"Sentence: ""Tension in the forehead""",4
182,"Sentence: ""Headache as if screwed together in and over the forehead""",4
183,"Sentence: ""Digging in the forehead at night""",4
184,"Sentence: ""Dreadful gnawing frontal pains""",4
185,"Sentence: ""In the afternoon tearing and aching pain in the frontal region which sometimes extended into the temporal region and lasted an hour b""",4
186,"Sentence: ""Tearing in the forehead""",4
187,"Sentence: ""Stitches in and above the forehead""",4
188,"Sentence: ""Sticking pain in the forehead though only on walking""",4
189,"Sentence: ""Stitches in the forehead as if in the bone""",4
190,"Sentence: ""Stitches from within outward at the forehead so that he must hold it with the hand on coughing""",4
191,"Sentence: ""Stitches in the forehead in the evening which afterwards constantly became more violent""",4
192,"Sentence: ""Stitches from within outward in the forehead on loud talking and coughing so that she was obliged to hold the forehead with the hand for several days mostly in the evening""",4
193,"Sentence: ""Stitches from within outward in the forehead every day from AM till evening""",4
194,"Sentence: ""Stitches from within outward in the forehead on every step all day also on loud talking and coughing he is obliged to wrinkle the forehead""",4
195,"Sentence: ""Heaviness and confusion of the sinciput heaviness confusion and dulness of the sinciput morning noon and evening frequent awaking with feeling of weight and dulness in the sinciput dulness and confusion of the sinciput""",4
196,"Sentence: ""In the evening dulness and confusion of the sinciput in the morning after awaking vacancy and confusion of the sinciput in the evening vacancy of the sinciput a""",4
197,"Sentence: ""Aching in both temples after dinner at noon aching in both temples slight drawing in the temples and occiput slight aching in both temples in the forenoon tenderness of the head on both temples severe aching pain in both temples after reading in the evening b""",5
198,"Sentence: ""Aching-boring pains in the temples and ears""",5
199,"Sentence: ""Periodically recurring but not very severe pains in the temples followed by acute drawing pains in the temples a""",5
200,"Sentence: ""Pressure in the temples and tension in the brain on reflecting and on mental work""",5
201,"Sentence: ""Cramplike drawing below the right mastoid process a""",5
202,"Sentence: ""During the day frequent cramplike tensive pain in the muscles of both mastoid processes d""",5
203,"Sentence: ""About AM a pretty violent drawing in the left temple which only lasted a short time f""",5
204,"Sentence: ""In the afternoon in addition to a frequent alternation of the already-described pains in the head and joints there occurred a violent cramplike tensive pain close to the right mastoid process which seemed to pierce into the deepest parts of the bone it lasted for a few seconds and then made way for a shooting pain in the right temple f""",5
205,"Sentence: ""Cramplike penetrating pain in the right mastoid process in the morning f""",5
206,"Sentence: ""In the afternoon while walking itching tearing in the left temporal bone which came on by fits some five or six times and was so violent that it made him stand still""",5
207,"Sentence: ""In the evening tiresome drawing and tearing in the left temporal region a""",5
208,"Sentence: ""A couple of jerks in the right temple near the ear a""",5
209,"Sentence: ""Pinching together in the brain from one temple to the other frequently for a minute""",5
210,"Sentence: ""Constrictive pain in the temples several mornings""",5
211,"Sentence: ""Tearing and pressure in the left temple and eye""",5
212,"Sentence: ""Shooting pain in the right temple f""",5
213,"Sentence: ""Shooting pain in the temples close to the eyes on moving them or on looking at anything""",5
214,"Sentence: ""Flying shoots in the left temple in the afternoon""",5
215,"Sentence: ""Sticking headache in the temples""",5
216,"Sentence: ""Throbbing pains in both temples after walking especially after going upstairs""",5
217,"Sentence: ""Throbbing in the head on the neck and about the heart everything in it throbbed and trembled""",5
218,"Sentence: ""From AM to PM throbbing pain in the left temporal region which was aggravated by walking and at PM suddenly went away c""",5
219,"Sentence: ""Painful turning and crawling in the temples""",5
220,"Sentence: ""Sensation of heaviness in the crown""",6
221,"Sentence: ""Feeling as of some heavy weight on vertex""",6
222,"Sentence: ""Headache in the vertex as from pressure on the top of the brain""",6
223,"Sentence: ""Aching on the right side of the vertex with rigor""",6
224,"Sentence: ""Pain superiorly on the vertex on chewing coughing and blowing the nose""",6
225,"Sentence: ""Pain in the vertex like a tingling and pain beneath the right ribs from the cough""",6
226,"Sentence: ""Violent pain in the vertex in the evening as if the hair would be torn out it bristles on the most painful spots""",6
227,"Sentence: ""Violent feverish headache in the crown occurring several mornings and lasting several hours""",6
228,"Sentence: ""Boring headache on the top beneath the vertex the spot is also painful to touch externally""",6
229,"Sentence: ""At AM pressive pain on both sides of the sagittal suture""",6
230,"Sentence: ""Pressure externally on the vertex extending to the forehead""",6
231,"Sentence: ""From time to time painful pressing inward from the vertex superiorly deep into the brain especially late in the evening and at night in bed the pain compels wrinkling the forehead and drawing the eyes together""",6
232,"Sentence: ""Aching in the vertex increased in the open air where it became very teasing towards noon after dinner increased to the feeling as if a heavy weight lay on it this pain lasted all day in a minor degree and did not go off till evening""",6
233,"Sentence: ""Tenderness of the head at the crown c""",6
234,"Sentence: ""Some stitches in the crown of the head""",6
235,"Sentence: ""Tingling superiorly in the vertex""",6
236,"Sentence: ""The vertex is very sensitive when touched and when not""",6
237,"Sentence: ""A spot on the vertex is painful to touch""",7
238,"Sentence: ""Stitches in the parietal and occipital bones when coughing""",7
239,"Sentence: ""A constant mostly one-sided headache as if the brain were torn or sore on opening the eyes after waking from the midday nap""",7
240,"Sentence: ""In two hours dull aching in the whole right half of the brain f""",7
241,"Sentence: ""One-sided sharp pressive headache beneath the left parietal bone immediately after supper""",7
242,"Sentence: ""Painful thrusts in the right side of the head in the evening while sitting""",7
243,"Sentence: ""Tearing in the head mostly in the sides and forehead at times with drawing and sticking and ulcerating pain and especially relieved or removed by moving the head by pressing upon it and by free air""",7
244,"Sentence: ""Headache externally on the left side painful to touch as if suppurating""",8
245,"Sentence: ""Screwing-together pain in the left side of the head""",8
246,"Sentence: ""In the morning weight and hot feeling in the occiput b""",8
247,"Sentence: ""In the morning after getting up aching and heavy feeling in the occiput extending into the nape headache went off in the course of the day b""",8
248,"Sentence: ""Sudden aching tension in the left side of the occiput""",8
249,"Sentence: ""A short tensive aching in the left side of the occiput""",8
250,"Sentence: ""About AM he awoke with aching pain in the occiput g""",8
251,"Sentence: ""Headache in the occiput from noon on a stupefying tingling in it on stepping she was obliged to sit very quietly for four hours""",8
252,"Sentence: ""A small spot in the lower part of the head by the nape of the neck hurts at times and especially after scratching a sore burning""",8
253,"Sentence: ""Pain in the left side of the occiput as from congestion of blood after waking from sleep""",8
254,"Sentence: ""In the evening violent pains in the occiput d""",8
255,"Sentence: ""During the forenoon aching and drawing pains in the occiput""",8
256,"Sentence: ""After lying down fine drawing shooting in the left side of the occiput c""",8
257,"Sentence: ""Drawing-aching pains in the occiput to the nape in the forenoon b""",8
258,"Sentence: ""Slight drawing in the occiput and nape b""",8
259,"Sentence: ""Slight drawing in the occiput b""",8
260,"Sentence: ""Drawing pain in the occiput so violent while chewing that he was obliged to stop eating""",8
261,"Sentence: ""At night pressive pain in occiput a""",8
262,"Sentence: ""Burning and sticking in the right side of the occiput""",8
263,"Sentence: ""Burning-aching pain in occiput which feels as if its seat were beneath the bone it lasted till the afternoon and then gradually went off a""",8
264,"Sentence: ""Pulsating in the left side of the occiput that at last changes to a jerking""",8
265,"Sentence: ""Woke at an unusual hour namely at AM with aching-throbbing headache in the right half of the occiput and pain in the left side of the small of the back the former went off in half an hour the latter after getting up in bed""",10
266,"Sentence: ""Aching-throbbing headache in the right half of the occiput""",10
267,"Sentence: ""Movements of the scalp from the nape of the neck over the vertex to the forehead""",11
268,"Sentence: ""Pulsating throbbing felt externally on the head""",11
269,"Sentence: ""Falling out of the hair""",11
270,"Sentence: ""Hair came out much in the morning on combing it d""",11
271,"Sentence: ""Profuse falling of the hair""",11
272,"Sentence: ""b""",11
273,"Sentence: ""The hair falls out a great deal a bald place is formed b""",11
274,"Sentence: ""Pain in the roots of the hair especially when touched""",12
275,"Sentence: ""The hair of the head is painful on scratching""",12
276,"Sentence: ""Scalp for a long time thickly covered with scabs a Up to the age of fifteen I had been frequently troubled with ringworm""",12
277,"Sentence: ""For many years he had been subject to great scaliness of the head so that a large quantity of scales came off when he combed or brushed his hair and his coat collar was always covered with them for a few days he has not noticed any of these scales so that he thinks the Sulphur must have acted curatively no scales when he combs his head though he used to have a good many a""",12
278,"Sentence: ""The skin of the head is again covered with many white scales difficult to get away on combing the hair a quantity of scales fall from the head many scales on the head a large number of scales on the head especially the vertex accumulation of scales on the scalp b""",12
279,"Sentence: ""Itching pimples on the scalp""",12
280,"Sentence: ""Small painful pimples here and there on the scalp pimples gone several small pimples on the scalp in the evening painful pimples here and there over the scalp several small pimples on the head small pimples on various parts of the scalp the pimples on the head are almost all there still on the scalp several small spots covered with scabs the scabs on the scalp are loosening b""",12
281,"Sentence: ""Slight sensitiveness of the whole scalp b""",12
282,"Sentence: ""Drawing and tearing in the scalp a""",12
283,"Sentence: ""Disagreeable creeping and tension in the scalp b""",12
284,"Sentence: ""Itching on the scalp b""",12
285,"Sentence: ""Itching of the scalp in the morning c""",13
286,"Sentence: ""Itching on the head with impatience""",14
287,"Sentence: ""An inflamed pimple behind the right ear a small inflamed pimple behind the right ear b""",15
288,"Sentence: ""A small painful spot covered with papulæ on the right temple b""",15
289,"Sentence: ""For some days past there has been a humid eruption on the top of the head like tinea capitis small grainlike pustules filled with pus and drying up into honeylike scabs a""",15
290,"Sentence: ""On two spots of the vertex there are found very tender scabby elevations the size of a pea which last several days c""",15
291,"Sentence: ""During the day two pimples again appeared one on the vertex the other posteriorly about the nape a painful pimple on the vertex on the vertex some small elevations of the scalp quite free from pain several small pimples on the vertex a small painful pimple on the vertex a painful pimple on the middle of the vertex a small painful pimple on the middle of the vertex a painful pimple on the vertex in the evening the pimple on the vertex gone but in place of it there appears on the same spot several not very tender elevations the size of a hemp-seed elevations gone b""",15
292,"Sentence: ""While combing his hair in the morning he observed a small not red elevation on the right parietal region sensitive to the touch b""",16
293,"Sentence: ""On the right side of the scalp over the parietal bone a very painful pimple forms""",16
294,"Sentence: ""A suppurating pimple on the hairy scalp near the nape a""",16
295,"Sentence: ""An inflamed pimple on the occiput some inflamed pimples at the back of the scalp on the occiput two painful pimples and a similar inflamed pimple on the middle of the vertex several painful pimples on the occiput I must repeat the remark that the large quantity of scales I used to have on my head for some time back have quite disappeared and that I cannot now bring away anything of the sort by vigorous combing and brushing but the hair on the vertex is falling off considerably so that a bald place is beginning to appear on the right side of the scalp a small painful pimple several small not itching pimples in the hollow at the back of the head downwards towards the nape b""",16
296,"Sentence: ""Itching on the occiput""",16
297,"Sentence: ""Itching on the occiput near the nape""",16
298,"Sentence: ""Itching on the occiput making him scratch b""",16
299,"Sentence: ""In the morning after getting up great itching on the occiput and nape great itching on the occiput compelling him to scratch in the morning b""",18
300,"Sentence: ""Itching on the occiput in the morning c""",18
301,"Sentence: ""Eyes sunken surrounded by blue rings""",18
302,"Sentence: ""Blue rings around the eyes""",18
303,"Sentence: ""Both eyes inflamed""",18
304,"Sentence: ""Redness of the eyes during the day violent itching in them in the evening""",18
305,"Sentence: ""Swelling and redness of the eyes with pimples on the lids""",18
306,"Sentence: ""The white of the eye reddened redness of conjunctiva less""",18
307,"Sentence: ""A white vesicle in the white of the eye close to the cornea""",18
308,"Sentence: ""Much matter in the eye in the morning for several days""",18
309,"Sentence: ""Purulent mucus in the eyes""",18
310,"Sentence: ""Trembling of the eyes""",18
311,"Sentence: ""Heaviness of the eyes""",18
312,"Sentence: ""Dryness of the eyes""",18
313,"Sentence: ""Aching in left eye in the evening aching in the left eye""",18
314,"Sentence: ""Aching in the right eye and sometimes a feeling as if the eyeballs were swollen during the forenoon d""",18
315,"Sentence: ""Slight adhesion and burning of the eyes in the morning burning in the eyes at noon burning of the eyes and lids in the forenoon occasional slight burning in the eyes""",18
316,"Sentence: ""Burning in the eyes""",18
317,"Sentence: ""Burning and easy fatigue of the eyes when reading""",18
318,"Sentence: ""Burning of the eyes without redness""",18
319,"Sentence: ""Burning of the eyes with great sensitiveness to daylight""",18
320,"Sentence: ""Burning of the eyes with redness of the outer canthi and discharge of corrosive tears""",18
321,"Sentence: ""Burning and pressure in the eyes in the morning they were agglutinated and the whole face swollen""",18
322,"Sentence: ""Burning in the eyes with redness of them redness of eyes much diminished""",18
323,"Sentence: ""In the afternoon burning shooting beneath the lids of the left eye as though sand had got into it c""",18
324,"Sentence: ""Burning in the right eye for a short time which recurs at short intervals""",18
325,"Sentence: ""Sensitiveness and burning in the eyes for several days""",18
326,"Sentence: ""Burning in eyes and feet a""",18
327,"Sentence: ""In the evening troublesome feeling of heat in the eyes a""",18
328,"Sentence: ""Burning heat in the eyes""",18
329,"Sentence: ""Sensation of heat in the eyes""",18
330,"Sentence: ""Sensation of fulness of blood in the eyes""",18
331,"Sentence: ""Smarting of the eyes in the evening the candlelight seems to be a red ring wherewith he cannot see""",18
332,"Sentence: ""Smarting of the eyes with a feeling as if they watered""",18
333,"Sentence: ""Painful smarting of the eyes""",18
334,"Sentence: ""A sensation as if there were a foreign body in the right eye in the morning feeling of foreign body in the eyes in the forenoon in the right in the evening in the left eye f""",18
335,"Sentence: ""Sensation in the right eye as if a foreign body were in it which compels him repeatedly to rub and wipe the eye in the afternoon a""",18
336,"Sentence: ""Sensation as if an inflammation of the eye were about to come on in the morning on awaking prickling causing him to scratch itching and smarting in the lids itching and smarting in the lids much diminished towards evening it went off completely a""",18
337,"Sentence: ""Pressure in the eyes as if sleepy every evening without sleepiness""",18
338,"Sentence: ""Pressure in the eyes especially on working in the sun""",18
339,"Sentence: ""Pressure and itching in the eyes and vertigo on stooping""",18
340,"Sentence: ""About PM after a glass of beer pressive pain on the left eye a""",18
341,"Sentence: ""Tensive headache in the eyes only on raising them several mornings in bed on waking""",18
342,"Sentence: ""A feeling as if the eyes were plucked back into her head""",18
